Código SNISB,Nome da Barragem,Capacidade (hm3),Classe de Capacidade,Altura Acima da Fundação (m),Classe de Altura,Altura Acima do Terreno (m),Município,UF,Uso Principal,Espelho D'água,Fiscalizador,Latitude,Longitude,Categoria de Risco,Classe de DPA,Latitude (Graus),Longitude (Graus),ESRI_OID,x,y
657,BARRAGEM DO SOSSEGO,80.53800000000001,75 hm³ < V < 200 hm³,42.1,30 m < h < 70 m,42.1,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º26'58.0""S","50º04'39.0""W",Não Classificado,Não Classificado,-6.4495833333000006,-50.0776111111,809,-50.07761111099995,-6.449583332999964
656,BARRAGEM DO KALUNGA,0.4,V < 3 hm³,20,15 m < h < 30 m,20,PARAUAPEBAS,PA,Contenção de rejeitos de mineração,Barragem Kalunga,DNPM,"06º06'45.0""S","50º18'29.0""W",Não Classificado,Não Classificado,-6.1125277778000005,-50.30830555560001,796,-50.30830555599994,-6.112527777999958
650,IG RELOGIO,0.002,V < 3 hm³,4,h < 10 m,4,RIO CRESPO,RO,Contenção de rejeitos de mineração,,DNPM,"09º44'12.0""S","62º46'13.0""W",Não Classificado,Não Classificado,-9.7367777778,-62.7703888889,854,-62.770388888999946,-9.736777777999976
649,IG MANTEIGA,0.025,V < 3 hm³,5,h < 10 m,5,ARIQUEMES,RO,Contenção de rejeitos de mineração,,DNPM,"09º49'54.0""S","62º47'57.0""W",Não Classificado,Não Classificado,-9.8319166667,-62.7993611111,855,-62.79936111099994,-9.831916666999973
648,CAMPO NOVO,0.021,V < 3 hm³,4,h < 10 m,4,CAMPO NOVO DE RONDÔNIA,RO,Contenção de rejeitos de mineração,,DNPM,"10º31'53.0""S","63º44'40.0""W",Não Classificado,Não Classificado,-10.531583333299999,-63.7446388889,878,-63.74463888899999,-10.531583332999958
647,CA 02,0.026000000000000002,V < 3 hm³,5,h < 10 m,5,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º25'53.0""S","63º03'18.0""W",Não Classificado,Não Classificado,-9.4316388889,-63.055138888900004,861,-63.05513888899998,-9.431638888999942
646,CA 01,0.1,V < 3 hm³,5,h < 10 m,5,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º25'54.0""S","63º03'19.0""W",Não Classificado,Não Classificado,-9.43175,-63.0555277778,862,-63.05552777799994,-9.431749999999965
645,Barragem Taboquinha,0.007,V < 3 hm³,4.5,h < 10 m,4.5,CUJUBIM,RO,Contenção de rejeitos de mineração,,DNPM,"09º31'23.0""S","62º54'21.0""W",Não Classificado,Não Classificado,-9.5233333333,-62.9058888889,857,-62.90588888899998,-9.523333332999925
644,BARRAGEM JACARÉ SUPERIOR,2.66,V < 3 hm³,10,h < 10 m,10,ARIQUEMES,RO,Contenção de rejeitos de mineração,,DNPM,"09º49'1.0""S","63º33'10.0""W",Não Classificado,Não Classificado,-9.817111111100001,-63.55286111110001,875,-63.55286111099997,-9.817111110999974
643,BARRAGEM DE REJEITO DO TABOQUINHA 3,0.001,V < 3 hm³,12,10 m < h < 15 m,12,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º12'15.0""S","63º05'4.0""W",Não Classificado,Não Classificado,-9.2043611111,-63.0845555556,865,-63.08455555599994,-9.204361110999969
642,BARRAGEM DE REJEITO DO TABOQUINHA 2,1.272,V < 3 hm³,10,h < 10 m,10,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º12'18.0""S","63º05'25.0""W",Não Classificado,Não Classificado,-9.2051666667,-63.090305555600004,866,-63.090305555999976,-9.205166666999958
641,BARRAGEM DE REJEITO DO TABOQUINHA 1,1.725,V < 3 hm³,12,10 m < h < 15 m,12,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º12'17.0""S","63º04'49.0""W",Não Classificado,Não Classificado,-9.204888888900001,-63.0802777778,863,-63.08027777799998,-9.20488888899996
640,BARRAGEM DE REJEITO,0.528,V < 3 hm³,5,h < 10 m,5,RIO CRESPO,RO,Contenção de rejeitos de mineração,,DNPM,"09º37'1.0""S","63º03'33.0""W",Não Classificado,Não Classificado,-9.6171388889,-63.0593333333,867,-63.059333332999984,-9.617138888999932
639,BARRAGEM DE DECANTAÇÃO E RECIRCULAÇÃO DE ÁGUA 4,1.514,V < 3 hm³,10,h < 10 m,10,ITAPUÃ DO OESTE,RO,Contenção de rejeitos de mineração,,DNPM,"09º12'48.0""S","63º04'53.0""W",Não Classificado,Não Classificado,-9.2134444444,-63.0815277778,864,-63.08152777799995,-9.213444443999947
638,Barragem 01,0.031,V < 3 hm³,3,h < 10 m,3,CAMPO NOVO DE RONDÔNIA,RO,Contenção de rejeitos de mineração,,DNPM,"10º30'18.0""S","63º37'14.0""W",Não Classificado,Não Classificado,-10.505,-63.620583333300004,877,-63.620583332999956,-10.504999999999939
713,Barragem BA-3,0.65,V < 3 hm³,14,10 m < h < 15 m,14,TAPIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º49'22.0""S","46º52'4.0""W",Não Classificado,Não Classificado,-19.8227777778,-46.8677777778,237,-46.86777777799995,-19.82277777799993
735,BARRAGEM ITABIRUÇU (Conceição),106.712,75 hm³ < V < 200 hm³,68,30 m < h < 70 m,68,ITABIRA,MG,Contenção de rejeitos de mineração,Barragem do Itabiruçu,DNPM,"19º41'7.0""S","43º17'9.0""W",Não Classificado,Não Classificado,-19.6852777778,-43.2861111111,293,-43.28611111099997,-19.685277777999943
756,BARRAGEM CEMIG II,12.3,3 hm³ < V < 75 hm³,22.35,15 m < h < 30 m,22.35,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º34'21.0""S","43º11'51.0""W",Não Classificado,Não Classificado,-19.5725,-43.197500000000005,280,-43.197499999999934,-19.572499999999934
755,BARRAGEM CEMIG I,6.55,3 hm³ < V < 75 hm³,32.5,30 m < h < 70 m,32.5,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º34'32.0""S","43º12'16.0""W",Não Classificado,Não Classificado,-19.5755555556,-43.204722222200004,283,-43.20472222199993,-19.575555555999927
746,Barragem Irmãos gonçalves,0.388,V < 3 hm³,,h < 10 m,4,JARU,RO,Contenção de resíduos industriais,,SEDAM/RO,"10º28'17.0""S","62º26'26.0""W",Não Classificado,Não Classificado,-10.471611111100001,-62.440638888900004,845,-62.440638888999956,-10.471611110999959
742,BARRAGEM LARANJEIRAS,5.7700000000000005,3 hm³ < V < 75 hm³,58.800000000000004,30 m < h < 70 m,58.800000000000004,BARÃO DE COCAIS,MG,Contenção de rejeitos de mineração,,DNPM,"19º50'53.0""S","43º25'18.0""W",Não Classificado,Não Classificado,-19.8483333333,-43.4216666667,305,-43.421666666999954,-19.84833333299997
725,BARRAGEM CAMBUCAL I (MINAS DO MEIO),2.2,V < 3 hm³,15.4,15 m < h < 30 m,15.4,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º38'26.0""S","43º14'29.0""W",Não Classificado,Não Classificado,-19.6405555556,-43.241388888900005,288,-43.24138888899995,-19.64055555599998
724,BARRAGEM C (UPM),0.41700000000000004,V < 3 hm³,10,h < 10 m,10,PATOS DE MINAS,MG,Contenção de rejeitos de mineração,,DNPM,"18º22'46.0""S","46º55'48.0""W",Não Classificado,Não Classificado,-18.3797222222,-46.93,248,-46.92999999999995,-18.37972222199994
723,Barragem BRI (CMT),8.3,3 hm³ < V < 75 hm³,35,30 m < h < 70 m,35,TAPIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º47'18.0""S","46º52'44.0""W",Não Classificado,Não Classificado,-19.7886111111,-46.8788888889,238,-46.87888888899994,-19.788611110999966
722,Barragem BR (CMT),98,75 hm³ < V < 200 hm³,61,30 m < h < 70 m,61,TAPIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º50'17.0""S","46º49'58.0""W",Não Classificado,Não Classificado,-19.838333333300003,-46.8327777778,234,-46.83277777799998,-19.83833333299998
717,Barragem BD-2 (CMT),2,V < 3 hm³,21,15 m < h < 30 m,21,TAPIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º50'13.0""S","46º50'13.0""W",Não Classificado,Não Classificado,-19.8372222222,-46.8372222222,235,-46.83722222199998,-19.83722222199998
712,Barragem Friboi,0.303,V < 3 hm³,,h < 10 m,4.5,PIMENTA BUENO,RO,Contenção de resíduos industriais,,SEDAM/RO,"11º36'31.0""S","61º13'45.0""W",Não Classificado,Não Classificado,-11.6086666667,-61.2291944444,838,-61.22919444399997,-11.608666666999966
701,BARRAGEM B3 - DIQUE AUXILIAR MANGABEIRAS,0.002,V < 3 hm³,3,h < 10 m,3,BELO HORIZONTE,MG,Contenção de rejeitos de mineração,,DNPM,"19º57'51.0""S","43º55'45.0""W",Não Classificado,Não Classificado,-19.964166666700002,-43.9291666667,228,-43.92916666699995,-19.964166666999972
726,BARRAGEM CAMBUCAL II (Minas do Meio),1.57,V < 3 hm³,17.5,15 m < h < 30 m,17.5,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º38'44.0""S","43º14'31.0""W",Não Classificado,Não Classificado,-19.6455555556,-43.2422222222,287,-43.24222222199995,-19.645555555999977
721,BARRAGEM BORRACHUDO II,0.525,V < 3 hm³,20,15 m < h < 30 m,20,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º36'45.0""S","43º16'.0""W",Não Classificado,Não Classificado,-19.6125,-43.2666666667,296,-43.26666666699998,-19.612499999999955
720,BARRAGEM BORRACHUDO,0.081,V < 3 hm³,6,h < 10 m,6,ITABIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º36'33.0""S","43º15'47.0""W",Não Classificado,Não Classificado,-19.609166666700002,-43.2633333333,295,-43.263333332999935,-19.609166666999954
718,Barragem BD-5 (CMT),3,V < 3 hm³,35,30 m < h < 70 m,35,TAPIRA,MG,Contenção de rejeitos de mineração,,DNPM,"19º49'14.0""S","46º50'30.0""W",Não Classificado,Não Classificado,-19.8208333333,-46.8416666667,236,-46.84166666699997,-19.82083333299994
716,BARRAGEM BATATINHA,0.02,V < 3 hm³,10,h < 10 m,10,RIO PIRACICABA,MG,Contenção de rejeitos de mineração,Barragem do Diogo,DNPM,"19º55'6.0""S","43º11'39.0""W",Não Classificado,Não Classificado,-19.9186111111,-43.1941666667,268,-43.194166666999934,-19.91861111099996
622,BARRAGEM 5 (Mutuca),7.1000000000000005,3 hm³ < V < 75 hm³,55,30 m < h < 70 m,55,NOVA LIMA,MG,Contenção de rejeitos de mineração,,DNPM,"20º01'33.0""S","43º56'33.0""W",Não Classificado,Não Classificado,-20.0261111111,-43.9425,226,-43.94249999999994,-20.026111110999977
621,Barragem 5 - MAC,0.135,V < 3 hm³,93,70 m < h < 100 m,93,NOVA LIMA,MG,Contenção de rejeitos de mineração,,DNPM,"19º58'30.0""S","43º53'47.0""W",Não Classificado,Não Classificado,-19.975,-43.8963888889,224,-43.89638888899998,-19.974999999999966
618,BARRAGEM 5 ,13.09,3 hm³ < V < 75 hm³,78,70 m < h < 100 m,78,NOVA LIMA,MG,Contenção de rejeitos de mineração,,DNPM,"19º58'36.0""S","43º53'34.0""W",Não Classificado,Não Classificado,-19.976944444399997,-43.8927777778,223,-43.89277777799998,-19.97694444399997
615,PS -1,0.22,V < 3 hm³,7,h < 10 m,7,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º26'1.0""S","50º02'54.0""W",Não Classificado,Não Classificado,-6.4338611111,-50.0483611111,808,-50.04836111099996,-6.433861110999942
613,PN -5,0.006,V < 3 hm³,4,h < 10 m,4,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º25'15.0""S","50º02'8.0""W",Não Classificado,Não Classificado,-6.4209722222,-50.0356388889,807,-50.03563888899998,-6.420972221999932
612,PN - 6,0.05,V < 3 hm³,5.5,h < 10 m,5.5,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º24'20.0""S","50º05'1.0""W",Não Classificado,Não Classificado,-6.405611111100001,-50.083722222199995,804,-50.08372222199995,-6.405611110999928
611,BACIA DE REJEITOS 16,0.027,V < 3 hm³,2,h < 10 m,2,ITAITUBA,PA,Contenção de rejeitos de mineração,,DNPM,"06º19'31.0""S","55º47'3.0""W",Não Classificado,Não Classificado,-6.3255,-55.7843055556,802,-55.784305555999936,-6.325499999999977
610,PN - 4,0.007,V < 3 hm³,5,h < 10 m,5,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º24'40.0""S","50º01'58.0""W",Não Classificado,Não Classificado,-6.4111388889,-50.0327777778,806,-50.03277777799997,-6.411138888999972
609,PN - 3,0.001,V < 3 hm³,6.5,h < 10 m,6.5,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º24'7.0""S","50º04'29.0""W",Não Classificado,Não Classificado,-6.4021944444,-50.0749166667,803,-50.07491666699997,-6.402194443999974
608,PN - 1,0.1,V < 3 hm³,5,h < 10 m,5,CANAÃ DOS CARAJÁS,PA,Contenção de rejeitos de mineração,,DNPM,"06º24'20.0""S","50º03'25.0""W",Não Classificado,Não Classificado,-6.4057222222000005,-50.057111111100006,805,-50.05711111099998,-6.405722221999952
582,BOM PASTOR,0.3,V < 3 hm³,13,10 m < h < 15 m,13,POCONÉ,MT,Contenção de rejeitos de mineração,,DNPM,"16º05'50.0""S","56º34'24.0""W",Não Classificado,Não Classificado,-16.0973611111,-56.5734444444,467,-56.57344444399996,-16.09736111099994
607,BACIA DE REJEITOS 14/15,0.12,V < 3 hm³,8,h < 10 m,8,ITAITUBA,PA,Contenção de rejeitos de mineração,,DNPM,"06º19'28.0""S","55º47'16.0""W",Não Classificado,Não Classificado,-6.3246111111,-55.788000000000004,801,-55.787999999999954,-6.324611110999967
602,Dique Provisorio 02,0.021,V < 3 hm³,5.5,h < 10 m,5.5,SÃO FÉLIX DO XINGU,PA,Contenção de rejeitos de mineração,,DNPM,"06º33'37.0""S","51º10'.0""W",Não Classificado,Não Classificado,-6.5603888889,-51.1667222222,811,-51.166722221999976,-6.560388888999967
601,Dique Provisorio 01,0.028,V < 3 hm³,5.5,h < 10 m,5.5,SÃO FÉLIX DO XINGU,PA,Contenção de rejeitos de mineração,,DNPM,"06º33'42.0""S","51º10'16.0""W",Não Classificado,Não Classificado,-6.561861111100001,-51.1711388889,812,-51.17113888899996,-6.561861110999928
590,BRAVO,0.005,V < 3 hm³,10,h < 10 m,10,VÁRZEA GRANDE,MT,Contenção de rejeitos de mineração,,DNPM,"15º28'8.0""S","56º27'31.0""W",Não Classificado,Não Classificado,-15.469138888900002,-56.458666666700005,712,-56.45866666699993,-15.469138888999964
589,BR Tanque Belo,0.222,V < 3 hm³,8,h < 10 m,8,NOSSA SENHORA DO LIVRAMENTO,MT,Contenção de rejeitos de mineração,,DNPM,"15º57'21.0""S","56º28'42.0""W",Não Classificado,Não Classificado,-15.956027777800001,-56.4785277778,459,-56.47852777799994,-15.956027777999964
588,BR Santa Felicidade,1.3,V < 3 hm³,11.8,10 m < h < 15 m,11.8,NOSSA SENHORA DO LIVRAMENTO,MT,Contenção de rejeitos de mineração,,DNPM,"15º39'28.0""S","56º21'6.0""W",Não Classificado,Não Classificado,-15.6578055556,-56.3518333333,719,-56.351833332999945,-15.657805555999971
587,BR ESTRELA,1.57,V < 3 hm³,12.1,10 m < h < 15 m,12.1,NOSSA SENHORA DO LIVRAMENTO,MT,Contenção de rejeitos de mineração,,DNPM,"15º39'6.0""S","56º23'5.0""W",Não Classificado,Não Classificado,-15.6516666667,-56.384777777800004,718,-56.38477777799994,-15.651666666999972
586,BR Bosco,1.1500000000000001,V < 3 hm³,8.9,h < 10 m,8.9,NOSSA SENHORA DO LIVRAMENTO,MT,Contenção de rejeitos de mineração,,DNPM,"15º39'44.0""S","56º20'22.0""W",Não Classificado,Não Classificado,-15.6624722222,-56.3396666667,720,-56.33966666699996,-15.662472221999963
159,Fazenda Pindaíbas,0.03,V < 3 hm³,2,h < 10 m,2,FORMOSA,GO,Irrigação,,ANA,"15º31'42.0""S","47º05'26.0""W",Não Classificado,Baixo,-15.5286111111,-47.090833333300004,648,-47.09083333299998,-15.528611110999975
152,Da Azeitona,0.31,V < 3 hm³,8.5,Sem Informação,,TABIRA,PE,Irrigação,,APAC,"07º39'8.0""S","37º31'54.0""W",Não Classificado,Não Classificado,-7.6523055556,-37.5317777778,983,-37.531777777999935,-7.652305555999931
133,Fazenda Santo Antônio,0.15,V < 3 hm³,4.6000000000000005,h < 10 m,4.6000000000000005,MUCURI,BA,Irrigação,,ANA,"18º03'28.0""S","40º05'26.0""W",Não Classificado,Baixo,-18.057777777800002,-40.090555555600005,391,-40.09055555599997,-18.057777777999945
132,Fazenda São João,0.01,V < 3 hm³,3,h < 10 m,3,MUCURI,BA,Irrigação,,ANA,"18º08'8.0""S","39º58'40.0""W",Não Classificado,Baixo,-18.1358333333,-39.978,380,-39.97799999999995,-18.135833332999937
131,Fazenda Dourada,0.44,V < 3 hm³,7.5,h < 10 m,7.5,PEDRO CANÁRIO,ES,Irrigação,,ANA,"18º14'8.0""S","39º55'49.0""W",Não Classificado,Baixo,-18.23575,-39.9304166667,377,-39.930416666999974,-18.23574999999994
129,Fazendas Ecológicas SA,0.085,V < 3 hm³,2.5,h < 10 m,2.5,CONCEIÇÃO DA BARRA,ES,Irrigação,,ANA,"18º19'33.0""S","39º49'33.0""W",Não Classificado,Baixo,-18.3261111111,-39.8261111111,374,-39.82611111099993,-18.326111110999932
128,Fazenda Santo Amaro,0.12100000000000001,V < 3 hm³,4,h < 10 m,4,MUCURI,BA,Irrigação,,ANA,"18º03'45.0""S","40º05'36.0""W",Não Classificado,Baixo,-18.062694444399998,-40.0934166667,392,-40.093416666999985,-18.06269444399993
135,Fazenda Divisa,0.41000000000000003,V < 3 hm³,6,h < 10 m,6,MUCURI,BA,Irrigação,,ANA,"18º04'17.0""S","40º04'3.0""W",Não Classificado,Baixo,-18.0713888889,-40.0675,386,-40.06749999999994,-18.071388888999934
130,Fazenda Camponesa,0.08,V < 3 hm³,5.5,h < 10 m,5.5,PEDRO CANÁRIO,ES,Irrigação,,ANA,"18º03'33.0""S","40º06'12.0""W",Não Classificado,Baixo,-18.0594444444,-40.103472222200004,395,-40.10347222199994,-18.05944444399995
127,Fazenda Jundiá,0.08,V < 3 hm³,4,h < 10 m,4,SÃO MATEUS,ES,Irrigação,,ANA,"18º30'41.0""S","40º05'50.0""W",Não Classificado,Baixo,-18.511472222200002,-40.097444444400004,405,-40.09744444399996,-18.511472221999952
111,Barro Branco - PISF,0.27,V < 3 hm³,12.56,10 m < h < 15 m,12.56,SERTÂNIA,PE,Abastecimento humano,,ANA,"08º01'58.0""S","37º15'37.0""W",Não Classificado,Alto,-8.0328055556,-37.2605277778,971,-37.26052777799998,-8.032805555999971
110,Campos - PISF  ,4.79,3 hm³ < V < 75 hm³,18.95,15 m < h < 30 m,18.95,SERTÂNIA,PE,Abastecimento humano,,ANA,"08º02'19.0""S","37º18'15.0""W",Não Classificado,Alto,-8.0388333333,-37.30436111110001,973,-37.304361110999935,-8.038833332999957
109,Barreiro - PISF,2.61,V < 3 hm³,14.39,10 m < h < 15 m,14.39,SERTÂNIA,PE,Abastecimento humano,,ANA,"08º04'40.0""S","37º22'50.0""W",Não Classificado,Alto,-8.078027777800001,-37.3806111111,976,-37.38061111099995,-8.078027777999978
108,Moxotó - PISF,1.42,V < 3 hm³,13.91,10 m < h < 15 m,13.91,SERTÂNIA,PE,Abastecimento humano,,ANA,"08º07'27.0""S","37º26'8.0""W",Não Classificado,Alto,-8.1241666667,-37.4358055556,979,-37.435805555999934,-8.12416666699994
107,Copiti - PISF,6.32,3 hm³ < V < 75 hm³,17.22,15 m < h < 30 m,17.22,CUSTÓDIA,PE,Abastecimento humano,,ANA,"08º15'33.0""S","37º42'47.0""W",Não Classificado,Alto,-8.2592222222,-37.713249999999995,985,-37.71324999999996,-8.259222221999948
106,Bagres - PISF  ,2.25,V < 3 hm³,13.61,10 m < h < 15 m,13.61,CUSTÓDIA,PE,Abastecimento humano,,ANA,"08º20'20.0""S","37º47'51.0""W",Não Classificado,Alto,-8.338944444400001,-37.7975555556,987,-37.79755555599996,-8.338944443999935
105,Cacimba Nova - PISF,2.77,V < 3 hm³,13.91,10 m < h < 15 m,13.91,CUSTÓDIA,PE,Abastecimento humano,,ANA,"08º21'19.0""S","37º51'8.0""W",Não Classificado,Alto,-8.3553888889,-37.8524166667,988,-37.85241666699994,-8.355388888999926
104,Muquém - PISF  ,3.08,3 hm³ < V < 75 hm³,19.29,15 m < h < 30 m,19.29,FLORESTA,PE,Abastecimento humano,,ANA,"08º30'53.0""S","37º57'49.0""W",Não Classificado,Alto,-8.51475,-37.96375,990,-37.96374999999995,-8.514749999999935
103,Salgueiro - PISF,4.37,3 hm³ < V < 75 hm³,20.7,15 m < h < 30 m,20.7,FLORESTA,PE,Abastecimento humano,,ANA,"08º38'52.0""S","38º09'24.0""W",Não Classificado,Alto,-8.6478055556,-38.156722222199996,992,-38.156722221999985,-8.64780555599998
102,Mandantes - PISF,3.8200000000000003,3 hm³ < V < 75 hm³,21.400000000000002,15 m < h < 30 m,21.400000000000002,FLORESTA,PE,Abastecimento humano,,ANA,"08º40'22.0""S","38º11'42.0""W",Não Classificado,Alto,-8.6729722222,-38.195194444399995,994,-38.19519444399998,-8.672972221999942
101,Braúnas - PISF ,15.17,3 hm³ < V < 75 hm³,37.1,30 m < h < 70 m,37.1,FLORESTA,PE,Abastecimento humano,,ANA,"08º41'58.0""S","38º17'2.0""W",Não Classificado,Alto,-8.6995555556,-38.2839722222,996,-38.28397222199993,-8.69955555599995
100,Areias - PISF,7.65,3 hm³ < V < 75 hm³,14.9,10 m < h < 15 m,14.9,FLORESTA,PE,Dessedentação Animal,,ANA,"08º43'34.0""S","38º19'44.0""W",Não Classificado,Alto,-8.7262777778,-38.3290833333,997,-38.32908333299997,-8.72627777799994
73,Fazenda Reunidas Filipinas,0.32,V < 3 hm³,4,h < 10 m,4,SANTA CRUZ DO XINGU,MT,Regularização de vazão,Barragem Fazenda Reunidas Filipinas,ANA,"10º13'5.0""S","52º25'53.0""W",Não Classificado,Baixo,-10.2183055556,-52.4315833333,822,-52.431583332999935,-10.218305555999962
23,Berizal,339.396,V > 200 hm³,41,30 m < h < 70 m,41,BERIZAL,MG,Regularização de vazão,,ANA,"15º36'42.0""S","41º52'27.0""W",Não Classificado,Alto,-15.611805555600002,-41.874249999999996,500,-41.87424999999996,-15.611805555999979
16,Barragem no Córrego Samambaia,0.06,V < 3 hm³,4.2,h < 10 m,4.2,PEDRO CANÁRIO,ES,Irrigação,Barragem no Córrego Samambaia,ANA,"18º08'38.0""S","39º58'36.0""W",Não Classificado,Baixo,-18.1438888889,-39.9769444444,381,-39.97694444399997,-18.14388888899998
15,Barragem no Córrego Santa Luzia 1,0.07,V < 3 hm³,2.2,h < 10 m,2.2,MUCURI,BA,Irrigação,Barragem I no Córrego Santa Luzia,ANA,"18º04'41.0""S","40º02'39.0""W",Não Classificado,Baixo,-18.0783333333,-40.0443611111,384,-40.044361110999944,-18.078333332999932
14,Barragem no Córrego da Cruz - Edecil,0.03,V < 3 hm³,1.6500000000000001,h < 10 m,1.6500000000000001,PEDRO CANÁRIO,ES,Irrigação,Barragem no Córrego da Cruz,ANA,"18º08'58.0""S","39º58'9.0""W",Não Classificado,Baixo,-18.1497222222,-39.9691666667,379,-39.96916666699997,-18.14972222199998
12,Pivô 18 na Fazenda Samambaia - Reservatrio 2 - jusante,1.97,V < 3 hm³,4.8500000000000005,h < 10 m,4.8500000000000005,CRISTALINA,GO,Irrigação,Represa Agriter II,ANA,"16º20'37.0""S","47º35'12.0""W",Não Classificado,Baixo,-16.3438611111,-47.5868888889,633,-47.586888888999965,-16.343861110999967
11,Barragem no Córrego Santa Luzia 2,0.12,V < 3 hm³,4.2,h < 10 m,4.2,MUCURI,BA,Irrigação,Barragem II no Córrego Santa Luzia,ANA,"18º04'24.0""S","40º02'44.0""W",Não Classificado,Baixo,-18.0734444444,-40.0456666667,383,-40.04566666699998,-18.07344444399996
10,Barragem no Córrego do Engano,0.04,V < 3 hm³,1.25,h < 10 m,1.25,PEDRO CANÁRIO,ES,Irrigação,Barragem no Córrego do Engano,ANA,"18º04'44.0""S","40º04'35.0""W",Não Classificado,Baixo,-18.0788888889,-40.0763888889,389,-40.07638888899993,-18.078888888999927
9,Barragem no Afluente do Córrego Santa Luzia,0.09,V < 3 hm³,2.7,h < 10 m,2.7,MUCURI,BA,Irrigação,,ANA,"18º05'15.0""S","40º02'57.0""W",Não Classificado,Baixo,-18.08775,-40.0493611111,385,-40.04936111099994,-18.08774999999997
8,Barragem no Córrego Floresta,0.15,V < 3 hm³,4.4,h < 10 m,4.4,MUCURI,BA,Irrigação,Barragem no Córrego Floresta,ANA,"18º06'12.0""S","40º01'17.0""W",Não Classificado,Baixo,-18.1036111111,-40.0216111111,382,-40.02161111099997,-18.103611110999964
7,Barragem no Córrego da Cruz - Aldevar,0.09,V < 3 hm³,3.6,h < 10 m,3.6,PEDRO CANÁRIO,ES,Irrigação,,ANA,"18º09'24.0""S","39º57'58.0""W",Não Classificado,Baixo,-18.1567765126,-39.9663221675,378,-39.96632216699993,-18.156776512999954
5,Fazenda São Pedro,0.72,V < 3 hm³,9,h < 10 m,9,PORTO ESPERIDIÃO,MT,Aquicultura,Barragem Fazenda São Pedro,ANA,"16º16'28.0""S","59º10'33.0""W",Não Classificado,Baixo,-16.2747222222,-59.1760277778,482,-59.176027777999934,-16.27472222199998
4,Barragem Fazenda São Luiz,0.65,V < 3 hm³,9,h < 10 m,9,CONCEIÇÃO DA BARRA,ES,Irrigação,Barragem na Fazenda São Luís,ANA,"18º14'17.0""S","39º53'18.0""W",Não Classificado,Baixo,-18.2383333333,-39.888611111100005,375,-39.88861111099993,-18.238333332999957
3,Barragem São Jacó,1.07,V < 3 hm³,12.39,10 m < h < 15 m,10.700000000000001,BRASÍLIA,DF,Irrigação,Barragem Fazenda São Jacó,ANA,"16º00'35.0""S","47º36'3.0""W",Não Classificado,Baixo,-16.0097227563,-47.6008800736,608,-47.600880073999974,-16.009722755999974
2,"Barragem na Área ""A"" Módulo 12 PAD-DF (Fazenda São Francisco)",0.06,V < 3 hm³,,h < 10 m,5.65,BRASÍLIA,DF,Irrigação,Barragem na Área A Módulo 12 do PADF,ANA,"16º02'53.0""S","47º33'20.0""W",Não Classificado,Baixo,-16.048055555599998,-47.5555555556,614,-47.555555555999945,-16.04805555599995
1,Rio Bezerra,0.11,V < 3 hm³,,h < 10 m,5,CABECEIRAS,GO,Irrigação,,ANA,"15º35'56.0""S","47º09'30.0""W",Não Classificado,Baixo,-15.5991363982,-47.158482078999995,651,-47.15848207899995,-15.599136397999928
333,ANTENOR SICUTO,0.037000000000000005,V < 3 hm³,4,h < 10 m,4,ALTA FLORESTA,MT,Aquicultura,,SEMA-MT,"09º57'2.0""S","56º07'32.0""W",Não Classificado,Não Classificado,-9.9508333333,-56.1258333333,820,-56.125833332999946,-9.950833332999935
332, MILTON PAULO CELLA / EDUARDO FUHR,0.14300000000000002,V < 3 hm³,6,h < 10 m,6,SORRISO,MT,Irrigação,,SEMA-MT,"12º17'56.0""S","55º52'44.0""W",Não Classificado,Não Classificado,-12.2988888889,-55.87888888890001,680,-55.87888888899994,-12.298888888999954
